Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Signal peptide,Transit peptide
Q9HAT2,reviewed,SIAE_HUMAN,"Sialate O-acetylesterase, EC 3.1.1.53 (H-Lse) (Sialic acid-specific 9-O-acetylesterase)",SIAE YSG2,Homo sapiens (Human),523,extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; lysosome [GO:0005764],SUBCELLULAR LOCATION: Lysosome {ECO:0000305}. Secreted.,58315,"FUNCTION: Catalyzes the removal of O-acetyl ester groups from position 9 of the parent sialic acid, N-acetylneuraminic acid.","TISSUE SPECIFICITY: Widely expressed with high expression in the testis, prostate, and colon. {ECO:0000269|PubMed:15292578}.",carbohydrate metabolic process [GO:0005975]; regulation of immune system process [GO:0002682],"SIGNAL 1..23; /evidence=""ECO:0000255""",
Q9HB63,reviewed,NET4_HUMAN,Netrin-4 (Beta-netrin) (Hepar-derived netrin-like protein),NTN4,Homo sapiens (Human),628,extracellular region [GO:0005576]; laminin complex [GO:0043256]; plasma membrane [GO:0005886],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000269|PubMed:11038171}. Note=Major component.",70071,"FUNCTION: May play an important role in neural, kidney and vascular development. Promotes neurite elongation from olfactory bulb explants. {ECO:0000269|PubMed:11038171}.","TISSUE SPECIFICITY: Expressed in kidney, spleen, mammary gland, aorta, heart, ovary, prostate and fetal spleen. {ECO:0000269|PubMed:11038171}.",animal organ morphogenesis [GO:0009887]; basement membrane assembly [GO:0070831]; cell migration [GO:0016477]; neuron remodeling [GO:0016322]; regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling [GO:0060668]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888],"SIGNAL 1..18; /evidence=""ECO:0000255""",
Q9HBE4,reviewed,IL21_HUMAN,"Interleukin-21, IL-21 (Za11)",IL21,Homo sapiens (Human),162,extracellular region [GO:0005576]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11081504}.,18653,"FUNCTION: Cytokine with immunoregulatory activity. May promote the transition between innate and adaptive immunity. Induces the production of IgG(1) and IgG(3) in B-cells (By similarity). Implicated in the generation and maintenance of T follicular helper (Tfh) cells and the formation of germinal-centers. Together with IL6, control the early generation of Tfh cells and are critical for an effective antibody response to acute viral infection (By similarity). May play a role in proliferation and maturation of natural killer (NK) cells in synergy with IL15. May regulate proliferation of mature B- and T-cells in response to activating stimuli. In synergy with IL15 and IL18 stimulates interferon gamma production in T-cells and NK cells (PubMed:11081504, PubMed:15178704). During T-cell mediated immune response may inhibit dendritic cells (DC) activation and maturation (By similarity). {ECO:0000250|UniProtKB:Q9ES17, ECO:0000269|PubMed:11081504, ECO:0000269|PubMed:15178704}.","TISSUE SPECIFICITY: Expressed in activated CD4-positive T-cells but not in CD8-positive T-cells, B-cells, or monocytes. {ECO:0000269|PubMed:11081504}.",cell maturation [GO:0048469]; cellular response to virus [GO:0098586]; defense response to virus [GO:0051607]; germinal center B cell differentiation [GO:0002314]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production [GO:0001819]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tissue remodeling [GO:0034105]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; signal transduction [GO:0007165]; T follicular helper cell differentiation [GO:0061470]; tyrosine phosphorylation of STAT protein [GO:0007260],"SIGNAL 1..24; /evidence=""ECO:0000250|UniProtKB:Q76LU5""",
Q9HC23,reviewed,PROK2_HUMAN,"Prokineticin-2, PK2 (Protein Bv8 homolog)",PROK2 BV8,Homo sapiens (Human),129,extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted.,14314,FUNCTION: May function as an output molecule from the suprachiasmatic nucleus (SCN) that transmits behavioral circadian rhythm. May also function locally within the SCN to synchronize output. Potently contracts gastrointestinal (GI) smooth muscle.,"TISSUE SPECIFICITY: Expressed in the testis and, at low levels, in the small intestine.",angiogenesis [GO:0001525]; chemotaxis [GO:0006935]; circadian rhythm [GO:0007623]; endothelial cell proliferation [GO:0001935]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; negative regulation of apoptotic process [GO:0043066]; neuropeptide signaling pathway [GO:0007218]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of smooth muscle contraction [GO:0045987]; sensory perception of pain [GO:0019233]; spermatogenesis [GO:0007283],"SIGNAL 1..27; /evidence=""ECO:0000269|PubMed:15340161""",
Q9HC73,reviewed,CRLF2_HUMAN,"Cytokine receptor-like factor 2 (Cytokine receptor-like 2) (IL-XR) (Thymic stromal lymphopoietin protein receptor, TSLP receptor)",CRLF2 CRL2 ILXR TSLPR,Homo sapiens (Human),371,external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235],SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.,42013,"FUNCTION: Receptor for thymic stromal lymphopoietin (TSLP). Forms a functional complex with TSLP and IL7R which is capable of stimulating cell proliferation through activation of STAT3 and STAT5. Also activates JAK2 (By similarity). Implicated in the development of the hematopoietic system. {ECO:0000250, ECO:0000269|PubMed:11418668}.","TISSUE SPECIFICITY: Expressed in heart, skeletal muscle, kidney and adult and fetal liver. Primarily expressed in dendrites and monocytes. Weakly expressed in T-cells.",cytokine-mediated signaling pathway [GO:0019221]; oncostatin-M-mediated signaling pathway [GO:0038165]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of interleukin-5 production [GO:0032754]; positive regulation of mast cell activation [GO:0033005]; positive regulation of receptor signaling pathway via STAT [GO:1904894],"SIGNAL 1..22; /evidence=""ECO:0000255""",
Q9HC84,reviewed,MUC5B_HUMAN,"Mucin-5B, MUC-5B (Cervical mucin) (High molecular weight salivary mucin MG1) (Mucin-5 subtype B, tracheobronchial) (Sublingual gland mucin)",MUC5B MUC5,Homo sapiens (Human),5762,extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: Secreted.,596340,FUNCTION: Gel-forming mucin that is thought to contribute to the lubricating and viscoelastic properties of whole saliva and cervical mucus.,"TISSUE SPECIFICITY: Expressed on surface airway epithelia. Expressed mainly in mucous cells of submucosal glands of airway tissues. Highly expressed in the sublingual gland. Also found in submaxillary glands, endocervix, gall bladder, and pancreas. {ECO:0000269|PubMed:11713095, ECO:0000269|PubMed:8554565, ECO:0000269|PubMed:9147051, ECO:0000269|PubMed:9164870}.",,"SIGNAL 1..25; /evidence=""ECO:0000255""",
Q9HCB6,reviewed,SPON1_HUMAN,Spondin-1 (F-spondin) (Vascular smooth muscle cell growth-promoting factor),SPON1 KIAA0762 VSGP,Homo sapiens (Human),807,endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.",90973,FUNCTION: Cell adhesion protein that promotes the attachment of spinal cord and sensory neuron cells and the outgrowth of neurites in vitro. May contribute to the growth and guidance of axons in both the spinal cord and the PNS (By similarity). Major factor for vascular smooth muscle cell. {ECO:0000250}.,"TISSUE SPECIFICITY: Highest expression in lung, lower expression in brain, heart, kidney, liver and testis, and lowest expression in pancreas, skeletal muscle and ovary. Not expressed in spleen. {ECO:0000269|PubMed:11368520, ECO:0000269|PubMed:9872452}.",cell adhesion [GO:0007155]; negative regulation of amyloid-beta formation [GO:1902430]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of protein binding [GO:0032092]; positive regulation of protein processing [GO:0010954]; protein processing [GO:0016485],"SIGNAL 1..28; /evidence=""ECO:0000255""",
Q9HCQ7,reviewed,NPVF_HUMAN,Pro-FMRFamide-related neuropeptide VF [Cleaved into: Neuropeptide NPSF; Neuropeptide RFRP-1; Neuropeptide RFRP-2; Neuropeptide NPVF (Neuropeptide RFRP-3) ],NPVF C7orf9 RFRP,Homo sapiens (Human),196,extracellular region [GO:0005576],SUBCELLULAR LOCATION: Secreted.,22327,"FUNCTION: Neuropeptide RFRP-1 acts as a potent negative regulator of gonadotropin synthesis and secretion. Neuropeptides NPSF and NPVF efficiently inhibit forskolin-induced production of cAMP, but RFRP-2 shows no inhibitory activity. Neuropeptide RFRP-1 induces secretion of prolactin in rats. Neuropeptide NPVF blocks morphine-induced analgesia. {ECO:0000269|PubMed:11025660, ECO:0000269|PubMed:20027225}.","TISSUE SPECIFICITY: Isoform 1 is specifically expressed in the retina. Neuropeptides RFRP-1 and NPVF are detected in the hypothalamus. {ECO:0000269|PubMed:11951088, ECO:0000269|PubMed:20027225}.",negative regulation of gonadotropin secretion [GO:0032277]; neuropeptide signaling pathway [GO:0007218],"SIGNAL 1..26; /evidence=""ECO:0000255""",
Q9HD89,reviewed,RETN_HUMAN,"Resistin (Adipose tissue-specific secretory factor, ADSF) (C/EBP-epsilon-regulated myeloid-specific secreted cysteine-rich protein) (Cysteine-rich secreted protein A12-alpha-like 2) (Cysteine-rich secreted protein FIZZ3)",RETN FIZZ3 HXCP1 RSTN UNQ407/PRO1199,Homo sapiens (Human),108,azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; specific granule lumen [GO:0035580],SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q99P87}.,11419,"FUNCTION: Hormone that seems to suppress insulin ability to stimulate glucose uptake into adipose cells (By similarity). Potentially links obesity to diabetes (By similarity). Promotes chemotaxis in myeloid cells (PubMed:15064728). {ECO:0000250|UniProtKB:Q99P87, ECO:0000269|PubMed:15064728}.","TISSUE SPECIFICITY: Expressed in white adipose tissue (at protein level) (PubMed:11201732). Widely expressed, with particularly strong expression in lung, bone marrow, breast and peripheral blood (PubMed:15248836). Expressed strongly in bone marrow and at lower levels in lung, but not detected in other tissues (PubMed:15064728). Isoform 2 is detected in adipose tissue, bone marrow, brain, lung, peripheral blood, placenta and thymus (PubMed:15248836). {ECO:0000269|PubMed:11201732, ECO:0000269|PubMed:15064728, ECO:0000269|PubMed:15248836}.",aging [GO:0007568]; fat cell differentiation [GO:0045444]; negative regulation of feeding behavior [GO:2000252]; positive regulation of progesterone secretion [GO:2000872]; positive regulation of synaptic transmission [GO:0050806]; response to insulin [GO:0032868]; response to mechanical stimulus [GO:0009612],"SIGNAL 1..18; /evidence=""ECO:0000255""",
Q9NNX6,reviewed,CD209_HUMAN,"CD209 antigen (C-type lectin domain family 4 member L) (Dendritic cell-specific ICAM-3-grabbing non-integrin 1, DC-SIGN, DC-SIGN1) (CD antigen CD209)",CD209 CLEC4L,Homo sapiens (Human),404,cell surface [GO:0009986]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; host cell [GO:0043657]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886],SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 5]: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 7]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 8]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 9]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 10]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 11]: Secreted {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform 12]: Secreted {ECO:0000305}.,45775,"FUNCTION: Pathogen-recognition receptor expressed on the surface of immature dendritic cells (DCs) and involved in initiation of primary immune response. Thought to mediate the endocytosis of pathogens which are subsequently degraded in lysosomal compartments. The receptor returns to the cell membrane surface and the pathogen-derived antigens are presented to resting T-cells via MHC class II proteins to initiate the adaptive immune response. {ECO:0000269|PubMed:11859097}.; FUNCTION: On DCs it is a high affinity receptor for ICAM2 and ICAM3 by binding to mannose-like carbohydrates. May act as a DC rolling receptor that mediates transendothelial migration of DC presursors from blood to tissues by binding endothelial ICAM2. Seems to regulate DC-induced T-cell proliferation by binding to ICAM3 on T-cells in the immunological synapse formed between DC and T-cells. {ECO:0000269|PubMed:10721995, ECO:0000269|PubMed:11017109, ECO:0000269|PubMed:12574325}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for HIV-1 and HIV-2. {ECO:0000269|PubMed:11799126, ECO:0000269|PubMed:12502850, ECO:0000269|PubMed:1518869}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Ebolavirus. {ECO:0000269|PubMed:12502850, ECO:0000269|PubMed:12504546}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Cytomegalovirus. {ECO:0000269|PubMed:12433371, ECO:0000269|PubMed:22496863}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for HCV. {ECO:0000269|PubMed:15371595, ECO:0000269|PubMed:16816373}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Dengue virus. {ECO:0000269|PubMed:12682107}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Measles virus. {ECO:0000269|PubMed:16537615}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Herpes simplex virus 1. {ECO:0000269|PubMed:18796707}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Influenzavirus A. {ECO:0000269|PubMed:21191006}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for SARS-CoV. {ECO:0000269|PubMed:15140961}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Japanese encephalitis virus. {ECO:0000269|PubMed:24623090}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Lassa virus (PubMed:23966408). Acts as an attachment receptor for Marburg virusn. {ECO:0000269|PubMed:15479853}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Respiratory syncytial virus. {ECO:0000269|PubMed:22090124}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for Rift valley fever virus and uukuniemi virus. {ECO:0000269|PubMed:21767814}.; FUNCTION: (Microbial infection) Acts as an attachment receptor for West-nile virus. {ECO:0000269|PubMed:16415006}.; FUNCTION: (Microbial infection) Probably recognizes in a calcium-dependent manner high mannose N-linked oligosaccharides in a variety of bacterial pathogen antigens, including Leishmania pifanoi LPG, Lewis-x antigen in Helicobacter pylori LPS, mannose in Klebsiella pneumonae LPS, di-mannose and tri-mannose in Mycobacterium tuberculosis ManLAM and Lewis-x antigen in Schistosoma mansoni SEA (PubMed:16379498). Recognition of M.tuberculosis by dendritic cells occurs partially via this molecule (PubMed:16092920, PubMed:21203928). {ECO:0000269|PubMed:16092920, ECO:0000269|PubMed:16379498, ECO:0000269|PubMed:21203928}.","TISSUE SPECIFICITY: Predominantly expressed in dendritic cells and in DC-residing tissues. Also found in placental macrophages, endothelial cells of placental vascular channels, peripheral blood mononuclear cells, and THP-1 monocytes. {ECO:0000269|PubMed:11257134, ECO:0000269|PubMed:11337487}.",adaptive immune response [GO:0002250]; antigen processing and presentation [GO:0019882]; B cell adhesion [GO:0097323]; cell-cell recognition [GO:0009988]; endocytosis [GO:0006897]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; innate immune response [GO:0045087]; intracellular signal transduction [GO:0035556]; intracellular transport of virus [GO:0075733]; leukocyte cell-cell adhesion [GO:0007159]; peptide antigen transport [GO:0046968]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of viral life cycle [GO:1903902]; regulation of T cell proliferation [GO:0042129]; viral entry into host cell [GO:0046718]; viral genome replication [GO:0019079]; virion attachment to host cell [GO:0019062],,
Q9NP55,reviewed,BPIA1_HUMAN,"BPI fold-containing family A member 1 (Lung-specific protein X) (Nasopharyngeal carcinoma-related protein) (Palate lung and nasal epithelium clone protein) (Secretory protein in upper respiratory tracts) (Short PLUNC1, SPLUNC1) (Tracheal epithelium-enriched protein) (Von Ebner protein Hl)",BPIFA1 LUNX NASG PLUNC SPLUNC1 SPURT UNQ787/PRO1606,Homo sapiens (Human),256,extracellular region [GO:0005576]; extracellular space [GO:0005615],"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11425234, ECO:0000269|PubMed:12409287, ECO:0000269|PubMed:12920053, ECO:0000269|PubMed:15158712, ECO:0000269|PubMed:23499554, ECO:0000269|PubMed:24043776, ECO:0000269|PubMed:24124190, ECO:0000269|PubMed:26559477}. Note=Apical side of airway epithelial cells. Detected in airway surface liquid, nasal mucus and sputum.",26713,"FUNCTION: Lipid-binding protein which shows high specificity for the surfactant phospholipid dipalmitoylphosphatidylcholine (DPPC) (PubMed:25223608). Plays a role in the innate immune responses of the upper airways (PubMed:23499554, PubMed:23132494). Reduces the surface tension in secretions from airway epithelia and inhibits the formation of biofilm by pathogenic Gram-negative bacteria, such as P.aeruginosa and K.pneumoniae (PubMed:23499554, PubMed:23132494, PubMed:27145151). Negatively regulates proteolytic cleavage of SCNN1G, an event that is required for activation of the epithelial sodium channel (ENaC), and thereby contributes to airway surface liquid homeostasis and proper clearance of mucus (PubMed:24124190, PubMed:24043776). Plays a role in the airway inflammatory response after exposure to irritants (PubMed:11425234). May attract macrophages and neutrophils (PubMed:23132494). {ECO:0000269|PubMed:11425234, ECO:0000269|PubMed:23132494, ECO:0000269|PubMed:23499554, ECO:0000269|PubMed:24043776, ECO:0000269|PubMed:24124190, ECO:0000269|PubMed:25223608, ECO:0000269|PubMed:27145151}.","TISSUE SPECIFICITY: Highly expressed in lung, upper airways and nasopharyngeal regions, including trachea and nasal epithelium (at protein level) (PubMed:11018263, PubMed:11251963, PubMed:12409287, PubMed:11425234, PubMed:26559477). Specifically expressed in the secretory ducts and submucosal glands of tracheobronchial tissues (at protein level) (PubMed:12409287, PubMed:11425234). Also expressed in the eye where it is detected in lacrimal gland, eyelid, conjunctiva and cornea (at protein level) (PubMed:26559477). Specifically localizes to epithelial cell layers in cornea, eyelid (basal epithelium) and conjunctiva (at protein level) (PubMed:26559477). Detected within acinar cells and ducts in the lacrimal and Meibomian glands (at protein level) (PubMed:26559477). In lung, shows highest expression in the trachea and progressive decrease from proximal (bronchial) to distal (bronchiolar) airways (PubMed:12409287). Also expressed in lung cancers and some other types of cancer (PubMed:11251963). {ECO:0000269|PubMed:11018263, ECO:0000269|PubMed:11251963, ECO:0000269|PubMed:11425234, ECO:0000269|PubMed:12409287, ECO:0000269|PubMed:26559477}.",antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to virus [GO:0051607]; immune response in nasopharyngeal-associated lymphoid tissue [GO:0002395]; innate immune response [GO:0045087]; multicellular organismal water homeostasis [GO:0050891]; negative regulation of single-species biofilm formation in or on host organism [GO:1900229]; regulation of liquid surface tension [GO:0050828]; regulation of sodium ion transmembrane transport [GO:1902305],"SIGNAL 1..19; /evidence=""ECO:0000255""",
Q9NP58,reviewed,ABCB6_HUMAN,"ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6, EC 7.6.2.5) (Mitochondrial ABC transporter 3, Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)",ABCB6 MTABC3 PRP UMAT,Homo sapiens (Human),842,ATP-binding cassette (ABC) transporter complex [GO:0043190]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; endolysosome membrane [GO:0036020]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; integral component of mitochondrial outer membrane [GO:0031307]; lysosomal membrane [GO:0005765]; melanosome membrane [GO:0033162]; mitochondrial envelope [GO:0005740]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; multivesicular body membrane [GO:0032585]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774],"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:22246506, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:23180570, ECO:0000269|PubMed:27507172}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000269|PubMed:17006453, ECO:0000269|PubMed:17661442}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22226084}; Multi-pass membrane protein {ECO:0000255}. Endosome membrane {ECO:0000269|PubMed:25627919}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187, ECO:0000269|PubMed:31053883}. Late endosome membrane {ECO:0000250|UniProtKB:O70595}. Early endosome membrane {ECO:0000250|UniProtKB:O70595}. Secreted, extracellular exosome {ECO:0000269|PubMed:22655043}. Mitochondrion {ECO:0000269|PubMed:10837493, ECO:0000269|PubMed:23792964}. Endosome, multivesicular body membrane {ECO:0000269|PubMed:25627919}. Melanosome membrane {ECO:0000269|PubMed:29940187}. Note=Present in the membrane of mature erythrocytes and in exosomes released from reticulocytes during the final steps of erythroid maturation (PubMed:22655043). Traffics from endoplasmic reticulum to Golgi during its glycans's maturation, therefrom is first targeted to the plasma membrane, and is rapidly internalized through endocytosis to be distributed to the limiting membrane of multivesicular bodies and lysosomes (PubMed:25627919, PubMed:21199866, PubMed:18279659). Localized on the limiting membrane of early melanosomes of pigment cells (PubMed:29940187). Targeted to the endolysosomal compartment (By similarity). {ECO:0000250|UniProtKB:O70595, ECO:0000269|PubMed:18279659, ECO:0000269|PubMed:21199866, ECO:0000269|PubMed:22655043, ECO:0000269|PubMed:25627919, ECO:0000269|PubMed:29940187}.",93886,"FUNCTION: ATP-dependent transporter that catalyzes the transport of a broad-spectrum of porphyrins from the cytoplasm to the extracellular space through the plasma membrane or into the vesicle lumen (PubMed:33007128, PubMed:27507172, PubMed:17661442, PubMed:23792964). May also function as an ATP-dependent importer of porphyrins from the cytoplasm into the mitochondria, in turn may participate in the de novo heme biosynthesis regulation and in the coordination of heme and iron homeostasis during phenylhydrazine stress (PubMed:17006453, PubMed:10837493, PubMed:23792964, PubMed:33007128). May also play a key role in the early steps of melanogenesis producing PMEL amyloid fibrils (PubMed:29940187). In vitro, it confers to cells a resistance to toxic metal such as arsenic and cadmium and against chemotherapeutics agent such as 5-fluorouracil, SN-38 and vincristin (PubMed:25202056, PubMed:21266531, PubMed:31053883). In addition may play a role in the transition metal homeostasis (By similarity). {ECO:0000250|UniProtKB:O70595, ECO:0000269|PubMed:10837493, ECO:0000269|PubMed:17006453, ECO:0000269|PubMed:17661442, ECO:0000269|PubMed:21266531, ECO:0000269|PubMed:23792964, ECO:0000269|PubMed:25202056, ECO:0000269|PubMed:27507172, ECO:0000269|PubMed:29940187, ECO:0000269|PubMed:31053883, ECO:0000269|PubMed:33007128}.","TISSUE SPECIFICITY: Widely expressed. High expression is detected in the retinal epithelium (PubMed:10837493, PubMed:22226084). Expressed in mature erythrocytes (PubMed:22655043). {ECO:0000269|PubMed:10837493, ECO:0000269|PubMed:22226084, ECO:0000269|PubMed:22655043}.",brain development [GO:0007420]; cellular copper ion homeostasis [GO:0006878]; cellular detoxification of cadmium ion [GO:0098849]; cellular iron ion homeostasis [GO:0006879]; heme metabolic process [GO:0042168]; heme transmembrane transport [GO:0035351]; heme transport [GO:0015886]; melanosome assembly [GO:1903232]; porphyrin-containing compound biosynthetic process [GO:0006779]; porphyrin-containing compound metabolic process [GO:0006778]; skin development [GO:0043588]; tetrapyrrole metabolic process [GO:0033013]; transmembrane transport [GO:0055085],,
Q9NP70,reviewed,AMBN_HUMAN,Ameloblastin,AMBN,Homo sapiens (Human),447,endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576],"SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.",48283,FUNCTION: Involved in the mineralization and structural organization of enamel.,TISSUE SPECIFICITY: Ameloblast-specific. Located at the Tomes processes of secretory ameloblasts and in the sheath space between rod-interrod enamel.,biomineral tissue development [GO:0031214]; cell adhesion [GO:0007155]; odontogenesis of dentin-containing tooth [GO:0042475]; regulation of cell population proliferation [GO:0042127],"SIGNAL 1..26; /evidence=""ECO:0000255""",
Q9NP95,reviewed,FGF20_HUMAN,"Fibroblast growth factor 20, FGF-20",FGF20,Homo sapiens (Human),211,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615],SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11306498}.,23499,FUNCTION: Neurotrophic factor that regulates central nervous development and function. {ECO:0000269|PubMed:16597617}.,TISSUE SPECIFICITY: Predominantly expressed in the cerebellum. {ECO:0000269|PubMed:11306498}.,animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; cell-cell signaling [GO:0007267]; fibroblast growth factor receptor signaling pathway [GO:0008543]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dopaminergic neuron differentiation [GO:1904340]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell migration [GO:0030334]; regulation of dopamine secretion [GO:0014059]; signal transduction [GO:0007165],,
