User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q8TDD5	MCOLN3	 / 716	0	
Q9H410	DSN1	5 / 716	1.2	2
Q3KRB8	ARHGAP11B	4 / 716	1	1
Q9NQR1	KMT5A	 / 716	0	
P61236	YPEL3	 / 716	0	
Q7Z392	TRAPPC11	 / 716	0	
P42857	NSG1	2 / 716	1	1
Q8TB61	SLC35B2	4 / 716	1	1
Q9Y3B1	PRELID3B	 / 716	0	
P25106	ACKR3	 / 716	0	
Q9HCE6	ARHGEF10L	13 / 716	1.2	2
Q9Y5X5	NPFFR2	 / 716	0	
Q92733	PRCC	81 / 716	2.1	9
Q14956	GPNMB	3 / 716	1	1
O43684	BUB3	298 / 716	3.8	14
Q96JM7	L3MBTL3	33 / 716	1.4	3
Q8TDI0	CHD5	213 / 716	13.1	104
Q68DC2	ANKS6	1 / 716	1	1
Q7Z589	EMSY	90 / 716	7.5	49
Q9UKP6	UTS2R	2 / 716	1	1
Q9BZJ4	SLC25A39	3 / 716	1	1
Q99884	SLC6A7	 / 716	0	
P48594	SERPINB4	34 / 716	4.5	38
P22090	RPS4Y1	326 / 716	5.3	26
Q96MG7	NSMCE3	1 / 716	1	1
O75969	AKAP3	 / 716	0	
Q8N907	DAND5	 / 716	0	
Q9NWK9	ZNHIT6	 / 716	0	
P82675	MRPS5	66 / 716	1.7	6
A0A0D9SF12	CCDC163	 / 716	0	
Q6PEY2	TUBA3E	686 / 716	26.6	188
Q8WVF5	KCTD4	 / 716	0	
P46976	GYG1	25 / 716	1.9	4
Q9BYU5	KRTAP2-1	6 / 716	1.3	2
E5RJM6	ANKRD65	 / 716	0	
P69892	HBG2	88 / 716	1.3	4
P19320	VCAM1	 / 716	0	
O75113	N4BP1	42 / 716	2.4	6
P09497	CLTB	77 / 716	3.9	9
Q7Z6J8	UBE3D	 / 716	0	
P57739	CLDN2	 / 716	0	
Q15785	TOMM34	32 / 716	1.7	6
Q6ZUJ4	C3ORF62	1 / 716	1	1
Q15562	TEAD2	3 / 716	1	1
Q15560	TCEA2	6 / 716	1.3	2
P19429	TNNI3	 / 716	0	
Q12972	PPP1R8	13 / 716	1.5	3
Q12929	EPS8	5 / 716	1.4	2
P38935	IGHMBP2	3 / 716	1	1
P01042	KNG1	 / 716	0	
P05019	IGF1	 / 716	0	
O95263	PDE8B	2 / 716	1.5	2
Q9P253	VPS18	2 / 716	1.5	2
A8MVW5	HEPACAM2	 / 716	0	
O95199	RCBTB2	10 / 716	1.8	3
Q674X7	KAZN	 / 716	0	
A6NKN8	PCP4L1	1 / 716	1	1
Q96LR4	FAM19A4	 / 716	0	
Q7Z333	SETX	43 / 716	3.9	44
P23368	ME2	34 / 716	2	9
Q8NCF5	NFATC2IP	13 / 716	1.3	2
P78380	OLR1	6 / 716	1.3	3
Q53S58	TMEM177	 / 716	0	
Q8WW01	TSEN15	1 / 716	1	1
Q6ZVN8	HFE2	 / 716	0	
P10915	HAPLN1	1 / 716	1	1
Q6A162	KRT40	13 / 716	2.8	14
Q9NPI1	BRD7	30 / 716	2.7	8
Q86UL8	MAGI2	 / 716	0	
H3BTG2	TEX46	 / 716	0	
Q9NTX9	FAM217B	 / 716	0	
Q9Y530	OARD1	2 / 716	1	1
Q99081	TCF12	15 / 716	1.4	2
Q86U90	YRDC	12 / 716	1.3	3
Q9NP97	DYNLRB1	136 / 716	2.3	7
Q8IZ73	RPUSD2	12 / 716	1.4	3
O95415	BRI3	 / 716	0	
Q8N2H9	PELI3	1 / 716	2	2
Q9BYG0	B3GNT5	 / 716	0	
Q9BRA0	NAA38	1 / 716	1	1
Q8IU81	IRF2BP1	13 / 716	1.3	3
A8MTY7	KRTAP9-7	2 / 716	2	3
Q13442	PDAP1	233 / 716	5.1	24
P35354	PTGS2	1 / 716	2	2
Q7Z442	PKD1L2	 / 716	0	
Q96PU8	QKI	25 / 716	2.1	15
Q92765	FRZB	 / 716	0	
P14868	DARS	271 / 716	6.6	35
Q8IX05	CD302	 / 716	0	
Q499Z3	SLFNL1	 / 716	0	
P13866	SLC5A1	 / 716	0	
Q9Y5F3	PCDHB1	 / 716	0	
Q9H6I2	SOX17	4 / 716	1	1
Q8TCT0	CERK	 / 716	0	
O00305	CACNB4	 / 716	0	
Q9NWV8	BABAM1	42 / 716	3.9	115
O95866	MPIG6B	 / 716	0	
Q9BQY4	RHOXF2	 / 716	0	
Q6ZTQ4	CDHR3	 / 716	0	
Q8N609	TRAM1L1	 / 716	0	
Q13875	MOBP	 / 716	0	
Q8TED0	UTP15	12 / 716	2.8	11
Q71RS6	SLC24A5	 / 716	0	
P00742	F10	1 / 716	1	1
O75569	PRKRA	58 / 716	2.4	7
Q30154	HLA-DRB5	 / 716	0	
O15355	PPM1G	155 / 716	2.4	10
Q92903	CDS1	1 / 716	1	1
Q5TCZ1	SH3PXD2A	3 / 716	1	1
O15130	NPFF	 / 716	0	
P12107	COL11A1	2 / 716	1	1
Q86T90	KIAA1328	 / 716	0	
Q6ZW31	SYDE1	11 / 716	1.5	3
Q8N3X1	FNBP4	76 / 716	3.4	21
A0A0B4J277	TRAV22	 / 716	0	
Q9Y2T2	AP3M1	70 / 716	1.7	7
P62314	SNRPD1	356 / 716	5.7	66
Q96P56	CATSPER2	 / 716	0	
Q13595	TRA2A	116 / 716	3.7	22
P18084	ITGB5	2 / 716	4.5	6
A4D2P6	GRID2IP	1 / 716	1	1
P49662	CASP4	 / 716	0	
Q8N944	AMER3	 / 716	0	
P48067	SLC6A9	 / 716	0	
Q9UBU6	FAM8A1	1 / 716	1	1
Q13519	PNOC	 / 716	0	
O60669	SLC16A7	 / 716	0	
Q92794	KAT6A	6 / 716	1.2	2
O75023	LILRB5	 / 716	0	
Q96AQ6	PBXIP1	2 / 716	2	3
Q9BXH1	BBC3	 / 716	0	
Q6ZMZ3	SYNE3	1 / 716	3	3
Q6P4A7	SFXN4	7 / 716	1.1	2
Q5TF39	MFSD4B	 / 716	0	
P25874	UCP1	 / 716	0	
O75715	GPX5	2 / 716	1	1
Q13636	RAB31	2 / 716	1	1
Q9BS86	ZPBP	12 / 716	2.8	6
Q92636	NSMAF	 / 716	0	
P49639	HOXA1	 / 716	0	
B7ZBB8	PPP1R3G	 / 716	0	
Q13557	CAMK2D	52 / 716	1.7	13
P24468	NR2F2	4 / 716	2.5	7
Q86Y01	DTX1	 / 716	0	
P42765	ACAA2	49 / 716	5	22
Q14188	TFDP2	3 / 716	1	1
O95747	OXSR1	58 / 716	1.5	5
P05387	RPLP2	440 / 716	6.7	120
Q7L5N7	LPCAT2	6 / 716	1.3	3
A0A0A0MS15	IGHV3-49	 / 716	0	
Q9H2C1	LHX5	 / 716	0	
Q96GA7	SDSL	1 / 716	1	1
Q9UBF1	MAGEC2	6 / 716	1	1
Q9Y675	SNURF	 / 716	0	
Q13085	ACACA	296 / 716	315.2	3552
Q15067	ACOX1	4 / 716	1.5	3
Q96H40	ZNF486	29 / 716	1.7	6
Q9NQS5	GPR84	 / 716	0	
Q8IZQ1	WDFY3	 / 716	0	
Q5TB30	DEPDC1	27 / 716	1.1	2
P04054	PLA2G1B	 / 716	0	
P56750	CLDN17	 / 716	0	
Q9NYJ1	COA4	15 / 716	1.5	3
Q6PI98	INO80C	1 / 716	1	1
Q5T4D3	TMTC4	 / 716	0	
Q5M9N0	CCDC158	 / 716	0	
Q96PN6	ADCY10	 / 716	0	
Q86XH1	IQCA1	1 / 716	1	1
Q96KQ7	EHMT2	39 / 716	2.7	8
Q9UJU2	LEF1	10 / 716	1.1	2
Q96A70	AZIN2	7 / 716	1	1
F5H4B4	FAM227A	 / 716	0	
P24387	CRHBP	1 / 716	20	20
Q9NZU5	LMCD1	1 / 716	1	1
P23276	KEL	 / 716	0	
Q8N393	ZNF786	 / 716	0	
O43653	PSCA	 / 716	0	
Q9HC56	PCDH9	 / 716	0	
Q86SG6	NEK8	 / 716	0	
Q2I0M5	RSPO4	 / 716	0	
Q9H3K6	BOLA2B	250 / 716	3.8	18
Q9H0X6	RNF208	1 / 716	1	1
Q96GF1	RNF185	 / 716	0	
P12270	TPR	256 / 716	61.6	471
Q8NHS1	CLDND2	 / 716	0	
P35609	ACTN2	213 / 716	7.9	237
Q9Y617	PSAT1	72 / 716	5.6	21
O75031	HSF2BP	 / 716	0	
Q96HG1	SMIM10	 / 716	0	
Q96NT5	SLC46A1	 / 716	0	
Q96BY9	SARAF	 / 716	0	
Q7LDG7	RASGRP2	 / 716	0	
Q8IYM2	SLFN12	 / 716	0	
Q9Y5F6	PCDHGC5	 / 716	0	
P31483	TIA1	83 / 716	5.5	16
P03973	SLPI	4 / 716	1.5	2
P51688	SGSH	2 / 716	1.5	2
A8MV65	VGLL3	 / 716	0	
Q96J42	TXNDC15	2 / 716	1.5	2
Q9Y6Q5	AP1M2	9 / 716	1	1
Q49MG5	MAP9	7 / 716	1.4	2
O75935	DCTN3	38 / 716	1.4	4
Q02575	NHLH1	 / 716	0	
O76096	CST7	 / 716	0	
O95377	GJB5	 / 716	0	
Q6NXT6	TAPT1	2 / 716	1	1
Q01523	DEFA5	 / 716	0	
Q9NSD4	ZNF275	 / 716	0	
Q96T68	SETDB2	 / 716	0	
P22695	UQCRC2	190 / 716	3.8	31
O43933	PEX1	4 / 716	1	1
Q9NP80	PNPLA8	 / 716	0	
Q9BZB8	CPEB1	 / 716	0	
P60983	GMFB	13 / 716	1.2	2
Q08380	LGALS3BP	102 / 716	15.2	73
P17600	SYN1	 / 716	0	
P16562	CRISP2	 / 716	0	
Q99500	S1PR3	 / 716	0	
P62891	RPL39	162 / 716	2.4	10
Q13093	PLA2G7	 / 716	0	
Q9H4E5	RHOJ	9 / 716	1	1
Q9P0M2	AKAP7	 / 716	0	
P36544	CHRNA7	 / 716	0	
Q6FI13	HIST2H2AA3	552 / 716	10.6	210
A0A0A0MS01	TRGV10	 / 716	0	
Q9BYN0	SRXN1	 / 716	0	
Q15738	NSDHL	68 / 716	2.1	10
Q96JQ0	DCHS1	2 / 716	1.5	2
P0C0L5	C4B_2	83 / 716	2.6	14
Q6JVE9	LCN8	 / 716	0	
A6NGJ6	TRIM64	 / 716	0	
O14497	ARID1A	129 / 716	7.7	51
Q96HU8	DIRAS2	2 / 716	1	1
E9PB15	PTGES3L	 / 716	0	
O60292	SIPA1L3	18 / 716	1.6	6
Q9H8G2	CAAP1	29 / 716	1.7	6
Q96QT4	TRPM7	8 / 716	1.3	3
Q6ZMI0	PPP1R21	14 / 716	1	1
O75306	NDUFS2	43 / 716	2.7	9
Q5JWF8	ACTL10	 / 716	0	
O95757	HSPA4L	181 / 716	3.9	23
Q53EZ4	CEP55	55 / 716	2.1	6
Q8IYR0	CFAP206	 / 716	0	
Q8N841	TTLL6	 / 716	0	
Q5EBM0	CMPK2	1 / 716	1	1
Q9UBB5	MBD2	25 / 716	3.2	11
Q16763	UBE2S	27 / 716	1.4	5
P84103	SRSF3	392 / 716	5.3	42
Q96EY4	TMA16	85 / 716	2.8	17
Q9NPR2	SEMA4B	 / 716	0	
Q9UHA2	SS18L2	 / 716	0	
A2IDD5	CCDC78	2 / 716	1	1
Q70CQ4	USP31	 / 716	0	
Q9UPT9	USP22	45 / 716	1.3	3
Q16655	MLANA	 / 716	0	
Q9BVM4	GGACT	 / 716	0	
Q15382	RHEB	50 / 716	1.4	3
O00743	PPP6C	37 / 716	1.8	3
A6NJB7	PRR19	1 / 716	1	1
O43364	HOXA2	 / 716	0	
Q8IZD9	DOCK3	 / 716	0	
Q7Z7B0	FILIP1	1 / 716	2	2
Q96BD6	SPSB1	 / 716	0	
P98172	EFNB1	6 / 716	7.2	38
Q29RF7	PDS5A	136 / 716	3.2	27
P36542	ATP5C1	237 / 716	3.4	20
P62805	HIST1H4D	489 / 716	15.3	305
Q8NGA5	OR10H4	 / 716	0	
Q96EU6	RRP36	25 / 716	2.9	10
P30101	PDIA3	281 / 716	8.7	87
Q9H1A7	POLR2J3	8 / 716	3	6
O60239	SH3BP5	1 / 716	1	1
Q9Y5W8	SNX13	 / 716	0	
Q9NP86	CABP5	 / 716	0	
Q969F0	FATE1	 / 716	0	
Q9UJZ1	STOML2	111 / 716	5.3	35
Q5TEC3	ZNF697	1 / 716	1	1
Q03468	ERCC6	7 / 716	1.1	2
Q6ZNE9	RUFY4	2 / 716	1	1
Q5T8A7	PPP1R26	1 / 716	1	1
O43504	LAMTOR5	15 / 716	1.3	2
Q8WVY7	UBLCP1	2 / 716	1	1
Q8IVB4	SLC9A9	 / 716	0	
A0A0B4J1V6	IGHV3-73	 / 716	0	
P15814	IGLL1	3 / 716	1.3	2
Q9NYV6	RRN3	 / 716	0	
A5PKW4	PSD	 / 716	0	
Q6PCD5	RFWD3	 / 716	0	
O43143	DHX15	432 / 716	11	165
P49336	CDK8	5 / 716	1.4	2
Q13951	CBFB	4 / 716	1	1
Q86WG3	ATCAY	 / 716	0	
Q5T5B0	LCE3E	 / 716	0	
Q8IUC3	KRTAP7-1	 / 716	0	
Q9Y572	RIPK3	1 / 716	1	1
P22681	CBL	18 / 716	1.2	2
Q9BYR2	KRTAP4-5	 / 716	0	
Q9Y5F8	PCDHGB7	 / 716	0	
Q15742	NAB2	1 / 716	1	1
Q6UXY8	TMC5	 / 716	0	
P15692	VEGFA	 / 716	0	
O95990	FAM107A	 / 716	0	
Q9H1B7	IRF2BPL	4 / 716	1	1
Q5TA81	LCE2C	5 / 716	1.4	3
H3BUK9	POTEB2	3 / 716	1	1
O95450	ADAMTS2	1 / 716	1	1
Q96B86	RGMA	 / 716	0	
P18283	GPX2	 / 716	0	
Q8N6D5	ANKRD29	3 / 716	1	1
Q14315	FLNC	373 / 716	14.7	154
Q9NW64	RBM22	45 / 716	3.4	17
Q5U4P2	ASPHD1	 / 716	0	
Q6YI46	TMEM64	 / 716	0	
Q8IZI9	IFNL3	 / 716	0	
Q8NB50	ZFP62	12 / 716	1	1
P11234	RALB	17 / 716	1.7	4
Q9UKL4	GJD2	 / 716	0	
Q96HT8	MRFAP1L1	 / 716	0	
Q6ZUB0	SPATA31D4	 / 716	0	
Q9UNH6	SNX7	 / 716	0	
Q71RC2	LARP4	131 / 716	1.8	11
Q16819	MEP1A	 / 716	0	
O75582	RPS6KA5	29 / 716	1.3	3
Q8TDN6	BRIX1	178 / 716	3.3	22
O14492	SH2B2	1 / 716	1	1
P78508	KCNJ10	2 / 716	1	1
Q03923	ZNF85	22 / 716	1.2	3
Q8IWY4	SCUBE1	 / 716	0	
O14776	TCERG1	183 / 716	8.3	51
Q96GC5	MRPL48	46 / 716	1.6	5
Q9H8Y8	GORASP2	30 / 716	1.4	4
Q9H9J2	MRPL44	59 / 716	1.9	6
Q6XPS3	TPTE2	 / 716	0	
O95970	LGI1	 / 716	0	
Q8N966	ZDHHC22	 / 716	0	
Q9BX79	STRA6	 / 716	0	
A0A0K0K1G6	TRBV10-3	 / 716	0	
Q9Y3R5	DOPEY2	21 / 716	1.5	3
Q5T4W7	ARTN	 / 716	0	
P61604	HSPE1	167 / 716	4.2	16
Q8TED9	AFAP1L1	1 / 716	1	1
Q9BWT3	PAPOLG	66 / 716	2.1	9
Q9BQS2	SYT15	 / 716	0	
P10451	SPP1	1 / 716	1	1
Q8WUX9	CHMP7	35 / 716	1.3	2
Q9BRL7	SEC22C	 / 716	0	
Q86SZ2	TRAPPC6B	13 / 716	1	1
P28360	MSX1	 / 716	0	
O14672	ADAM10	2 / 716	1.5	2
Q9Y4B5	MTCL1	1 / 716	1	1
Q8N895	ZNF366	 / 716	0	
Q8WWL2	SPIRE2	 / 716	0	
Q9NUQ8	ABCF3	11 / 716	1.2	2
Q8WVP5	TNFAIP8L1	 / 716	0	
Q92786	PROX1	2 / 716	1	1
P36402	TCF7	10 / 716	1.1	2
Q8TAF8	LHFPL5	 / 716	0	
P23469	PTPRE	 / 716	0	
P21554	CNR1	 / 716	0	
Q9NXV2	KCTD5	36 / 716	6.3	58
Q03164	KMT2A	88 / 716	7.3	25
Q9UPM6	LHX6	 / 716	0	
Q8NFD5	ARID1B	68 / 716	3.1	22
Q9BUV8	C20ORF24	 / 716	0	
Q13888	GTF2H2	6 / 716	1.2	2
O75352	MPDU1	44 / 716	1.6	5
Q9UQB3	CTNND2	5 / 716	1.2	2
Q96S16	JMJD8	 / 716	0	
Q9UK05	GDF2	 / 716	0	
Q9UL36	ZNF236	17 / 716	1	1
Q07820	MCL1	1 / 716	1	1
Q7Z7L7	ZER1	 / 716	0	
Q92508	PIEZO1	 / 716	0	
Q8NB25	FAM184A	1 / 716	2	2
Q9H611	PIF1	 / 716	0	
Q92900	UPF1	117 / 716	4	44
P20908	COL5A1	1 / 716	1	1
Q9NYP7	ELOVL5	43 / 716	1.1	3
Q16659	MAPK6	26 / 716	1	2
Q8N7M0	TCTEX1D1	 / 716	0	
Q2TAC6	KIF19	 / 716	0	
Q16875	PFKFB3	23 / 716	3.7	24
Q00975	CACNA1B	1 / 716	1	1
Q13585	GPR50	 / 716	0	
Q66K74	MAP1S	33 / 716	1.3	4
P23280	CA6	1 / 716	2	2
Q4AE62	GTDC1	 / 716	0	
Q6IPX3	TCEAL6	 / 716	0	
P23921	RRM1	108 / 716	3.5	17
P50238	CRIP1	7 / 716	1.7	4
Q0VGL1	LAMTOR4	4 / 716	1.3	2
O43586	PSTPIP1	 / 716	0	
P54826	GAS1	1 / 716	2	2
Q7RTY1	SLC16A9	 / 716	0	
Q13601	KRR1	76 / 716	1.9	8
Q495M3	SLC36A2	 / 716	0	
P09630	HOXC6	3 / 716	1	1
O00110	OVOL3	 / 716	0	
Q96PV0	SYNGAP1	1 / 716	1	1
Q9UGL1	KDM5B	3 / 716	1	1
Q8WWN9	IPCEF1	 / 716	0	
Q8IWF2	FOXRED2	5 / 716	1	1
Q9UQ80	PA2G4	260 / 716	7.7	59
A0A494C086	Invalid identifier / gene not available			
Q53EL6	PDCD4	76 / 716	2.4	21
P32298	GRK4	1 / 716	1	1
Q86T20	SMIM29	 / 716	0	
Q9H6R4	NOL6	147 / 716	3.6	23
Q96MT3	PRICKLE1	 / 716	0	
Q8NCW6	GALNT11	 / 716	0	
A6NNJ1	FAM90A9P	1 / 716	2	2
Q9Y5Y0	FLVCR1	2 / 716	1	1
Q96D42	HAVCR1	 / 716	0	
Q9BU70	TRMO	1 / 716	6	6
O15391	YY2	41 / 716	1.4	3
P78563	ADARB1	 / 716	0	
Q9UBT3	DKK4	 / 716	0	
O75165	DNAJC13	47 / 716	3.6	40
P17252	PRKCA	10 / 716	1.3	3
P08118	MSMB	 / 716	0	
Q14119	VEZF1	28 / 716	1.1	3
Q1L6U9	MSMP	 / 716	0	
Q6P5X7	TMEM71	 / 716	0	
Q8IW92	GLB1L2	 / 716	0	
O14511	NRG2	 / 716	0	
Q9NUL5	RYDEN	 / 716	0	
Q9NZQ0	DNAJC27	 / 716	0	
Q99527	GPER1	1 / 716	1	1
Q9P2E9	RRBP1	172 / 716	7	146
Q9H8M7	MINDY3	6 / 716	1	1
Q9H8K7	C10ORF88	 / 716	0	
P22735	TGM1	35 / 716	3.3	18
Q8N3Y3	LARGE2	 / 716	0	
A8K5M9	C15ORF62	 / 716	0	
Q99570	PIK3R4	9 / 716	1.6	2
O60928	KCNJ13	 / 716	0	
P49146	NPY2R	 / 716	0	
Q96KP6	TNIP3	 / 716	0	
Q6X9E4	FBXW12	 / 716	0	
Q9NR55	BATF3	 / 716	0	
Q13111	CHAF1A	71 / 716	2.8	6
P41970	ELK3	 / 716	0	
Q9H4G0	EPB41L1	83 / 716	3.6	45
P57775	FBXW4	 / 716	0	
P40855	PEX19	24 / 716	1.1	2
Q6NZ63	STEAP1B	 / 716	0	
Q8N9Q2	SREK1IP1	72 / 716	3.6	33
O00180	KCNK1	 / 716	0	
O60762	DPM1	107 / 716	1.7	8
O43570	CA12	1 / 716	58	58
Q9H4M3	FBXO44	1 / 716	1	1
Q9Y657	SPIN1	159 / 716	7	39
Q92791	P3H4	2 / 716	1	1
Q9BZE2	PUS3	2 / 716	1	1
Q8NC56	LEMD2	7 / 716	2.1	8
P61077	UBE2D3	96 / 716	1.5	4
Q86XF0	DHFR2	3 / 716	1	1
Q9BU64	CENPO	1 / 716	1	1
Q9NZK7	PLA2G2E	 / 716	0	
Q9HD34	LYRM4	1 / 716	1	1
Q13542	EIF4EBP2	20 / 716	1.1	2
Q6ZT98	TTLL7	 / 716	0	
P10176	COX8A	 / 716	0	
Q9NPI5	NMRK2	 / 716	0	
O95749	GGPS1	 / 716	0	
Q96JM4	LRRIQ1	1 / 716	1	1
O00444	PLK4	 / 716	0	
Q8ND71	GIMAP8	1 / 716	2	2
Q9NRN7	AASDHPPT	51 / 716	1.4	6
Q14507	EDDM3A	 / 716	0	
A0A0C4DH36	IGHV3-38	 / 716	0	
Q9BQ48	MRPL34	61 / 716	3.5	13
P49238	CX3CR1	 / 716	0	
P46597	ASMT	 / 716	0	
P45452	MMP13	1 / 716	1	1
P38117	ETFB	74 / 716	4.2	15
Q9P2N6	KANSL3	15 / 716	2.5	7
Q86UB2	BIVM	1 / 716	1	1
Q96DA0	ZG16B	11 / 716	1.3	3
Q96LK8	SPATA32	 / 716	0	
O95299	NDUFA10	67 / 716	1.5	5
P20674	COX5A	84 / 716	3.1	17
P18669	PGAM1	239 / 716	5.1	30
P49746	THBS3	 / 716	0	
Q9BW62	KATNAL1	 / 716	0	
P35637	FUS	428 / 716	19	133
Q9NVI1	FANCI	115 / 716	2.8	18
Q10589	BST2	3 / 716	2.3	3
P13805	TNNT1	1 / 716	2	2
Q96M96	FGD4	 / 716	0	
Q2Y0W8	SLC4A8	1 / 716	1	1
Q96JY0	MAEL	 / 716	0	
Q5XKL5	BTBD8	4 / 716	1	1
P81277	PRLH	 / 716	0	
Q9BZY9	TRIM31	 / 716	0	
Q13733	ATP1A4	121 / 716	2.6	15
Q96NL1	TMEM74	 / 716	0	
Q86X52	CHSY1	1 / 716	1	1
Q86TD4	SRL	1 / 716	1	1
Q01085	TIAL1	94 / 716	6.7	19
P28068	HLA-DMB	 / 716	0	
Q9H1Z8	C2ORF40	 / 716	0	
P49750	YLPM1	162 / 716	16.7	100
Q8N7X4	MAGEB6	 / 716	0	
O00755	WNT7A	 / 716	0	
Q86WA8	LONP2	1 / 716	1	1
Q9H013	ADAM19	 / 716	0	
Q9BWX1	PHF7	1 / 716	1	1
O43541	SMAD6	 / 716	0	
P30837	ALDH1B1	90 / 716	2.6	13
Q9P258	RCC2	336 / 716	6.2	34
P54803	GALC	2 / 716	1	1
P68104	EEF1A1	653 / 716	30	239
Q9HCJ5	ZSWIM6	 / 716	0	
P17483	HOXB4	 / 716	0	
Q9NY93	DDX56	115 / 716	1.8	8
P15336	ATF2	1 / 716	1	1
Q9P2P5	HECW2	 / 716	0	
O95876	WDPCP	 / 716	0	
Q8N309	LRRC43	 / 716	0	
Q9H9A5	CNOT10	36 / 716	1.1	4
Q9H4S2	GSX1	 / 716	0	
Q8IZC4	RTKN2	 / 716	0	
O75369	FLNB	417 / 716	28.1	759
Q8WWY8	LIPH	1 / 716	4	4
Q13724	MOGS	59 / 716	2.6	9
Q8NEY4	ATP6V1C2	1 / 716	8	8
Q96QU6	ACCS	2 / 716	1	1
Q7KYR7	BTN2A1	3 / 716	1	1
Q93075	TATDN2	 / 716	0	
Q9P0V9	SEPT10	1 / 716	1	1
Q6Y288	B3GLCT	2 / 716	1	1
A8MT70	ZBBX	2 / 716	1	1
Q8IXR5	FAM178B	 / 716	0	
P09668	CTSH	1 / 716	1	1
P50479	PDLIM4	5 / 716	2.4	4
Q7Z553	MDGA2	 / 716	0	
A6NK02	TRIM75P	 / 716	0	
Q6P4F7	ARHGAP11A	11 / 716	1.8	3
Q96EH3	MALSU1	1 / 716	1	1
Q9NPB3	CABP2	 / 716	0	
H3BQB6	STMND1	1 / 716	1	1
Q2M2I5	KRT24	387 / 716	4.4	95
Q93074	MED12	12 / 716	1.9	4
Q9P109	GCNT4	 / 716	0	
Q9UPN7	PPP6R1	50 / 716	1.6	5
P16471	PRLR	 / 716	0	
Q8TC76	FAM110B	3 / 716	1	1
Q13564	NAE1	36 / 716	1.4	5
Q8IY22	CMIP	1 / 716	1	1
Q9H9L4	KANSL2	1 / 716	1	1
Q9Y467	SALL2	30 / 716	1.2	3
Q8WTX7	CASTOR1	1 / 716	9	9
Q5MNZ9	WIPI1	23 / 716	1.3	3
O95405	ZFYVE9	33 / 716	1.1	2
Q86W33	TPRA1	1 / 716	1	1
O43927	CXCL13	 / 716	0	
Q6ZSM3	SLC16A12	 / 716	0	
Q9NQX1	PRDM5	1 / 716	1	1
P24588	AKAP5	1 / 716	2	2
Q9Y6R4	MAP3K4	1 / 716	1	1
O43491	EPB41L2	191 / 716	17.9	63
Q15303	ERBB4	2 / 716	1	1
Q9BZK7	TBL1XR1	45 / 716	1.2	2
Q96LR2	LURAP1	 / 716	0	
Q13190	STX5	11 / 716	1.5	4
Q9H1X1	RSPH9	 / 716	0	
Q00532	CDKL1	1 / 716	1	1
P34913	EPHX2	 / 716	0	
P13640	MT1G	24 / 716	3.3	31
P41159	LEP	 / 716	0	
P24298	GPT	 / 716	0	
Q9BWG4	SSBP4	4 / 716	1	1
P28331	NDUFS1	54 / 716	2.5	31
Q5GFL6	VWA2	2 / 716	1	1
Q86VZ4	LRP11	 / 716	0	
Q86SJ2	AMIGO2	 / 716	0	
Q6NYC8	PPP1R18	22 / 716	2.3	6
P57059	SIK1	 / 716	0	
Q9BZF2	OSBPL7	 / 716	0	
Q9BXA6	TSSK6	 / 716	0	
Q8IU99	CALHM1	 / 716	0	
Q9HA38	ZMAT3	1 / 716	2	2
Q8TBE9	NANP	20 / 716	1.2	3
P55056	APOC4	 / 716	0	
P51671	CCL11	 / 716	0	
Q9P003	CNIH4	54 / 716	2.1	7
Q99536	VAT1	64 / 716	2	10
P20809	IL11	 / 716	0	
P07738	BPGM	1 / 716	12	12
Q96HA4	C1ORF159	1 / 716	2	2
P29466	CASP1	 / 716	0	
P21917	DRD4	 / 716	0	
Q7Z713	ANKRD37	 / 716	0	
Q8IZ21	PHACTR4	63 / 716	3.1	11
Q9NPH5	NOX4	1 / 716	1	1
P49427	CDC34	 / 716	0	
P55884	EIF3B	282 / 716	5	41
Q9H845	ACAD9	32 / 716	1.5	4
Q5T2N8	ATAD3C	154 / 716	2.7	27
Q5VXU9	C9ORF84	2 / 716	1	1
Q9UJ04	TSPYL4	 / 716	0	
Q8TEB1	DCAF11	 / 716	0	
O15504	NUPL2	17 / 716	1.9	6
Q7Z465	BNIPL	 / 716	0	
P09210	GSTA2	1 / 716	1	1
Q9NZQ3	NCKIPSD	9 / 716	2.4	8
Q9Y251	HPSE	2 / 716	1	1
Q4VC31	CCDC58	14 / 716	1.2	2
P08865	RPSA	335 / 716	7.3	66
Q96LU5	IMMP1L	 / 716	0	
Q96I23	PYURF	 / 716	0	
Q9Y421	FAM32A	112 / 716	3.7	19
P01241	GH1	 / 716	0	
Q9HA77	CARS2	20 / 716	1.6	4
Q8TD08	MAPK15	 / 716	0	
Q9BU89	DOHH	6 / 716	1.8	5
Q9BYH8	NFKBIZ	 / 716	0	
Q8WTU0	DDI1	1 / 716	2	2
P41145	OPRK1	 / 716	0	
P51805	PLXNA3	8 / 716	1.5	4
O43556	SGCE	 / 716	0	
Q13813	SPTAN1	324 / 716	27.7	374
Q13976	PRKG1	 / 716	0	
Q9BRQ4	C11ORF70	 / 716	0	
Q8NFY4	SEMA6D	 / 716	0	
Q9HBJ8	TMEM27	 / 716	0	
Q9NZ56	FMN2	1 / 716	3	3
Q9ULC0	EMCN	 / 716	0	
Q69YZ2	TMEM200B	2 / 716	1	1
P08631	HCK	163 / 716	1.3	5
