,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (cellular component),Subcellular location [CC],Mass,Function [CC],Tissue specificity,Gene Ontology (biological process),Gene Ontology (molecular function),Signal peptide,Transit peptide,DNA binding,Gene Ontology (GO),Protein families,Zinc finger,Gene Ontology IDs,alternative uniprot ID,Gene ontology (GO)
5118,Q80W22,reviewed,THNS2_MOUSE,"Threonine synthase-like 2, TSH2, mTSH2, EC 4.2.3.-",Thnsl2,Mus musculus (Mouse),483,,,,,,2-oxobutyrate biosynthetic process [GO:0046360]; dephosphorylation [GO:0016311]; serine family amino acid catabolic process [GO:0009071],lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905],,,,lyase activity [GO:0016829]; pyridoxal phosphate binding [GO:0030170]; serine binding [GO:0070905]; 2-oxobutyrate biosynthetic process [GO:0046360]; dephosphorylation [GO:0016311]; serine family amino acid catabolic process [GO:0009071],,,GO:0009071; GO:0016311; GO:0016829; GO:0030170; GO:0046360; GO:0070905,,
5137,Q6PI17,unreviewed,Q6PI17_MOUSE,Metalloproteinase inhibitor 2 (Tissue inhibitor of metalloproteinases 2),Timp2,Mus musculus (Mouse),220,extracellular region [GO:0005576],,,,,negative regulation of metallopeptidase activity [GO:1905049],metalloendopeptidase inhibitor activity [GO:0008191]; protease binding [GO:0002020]; zinc ion binding [GO:0008270],,,,extracellular region [GO:0005576]; metalloendopeptidase inhibitor activity [GO:0008191]; protease binding [GO:0002020]; zinc ion binding [GO:0008270]; negative regulation of metallopeptidase activity [GO:1905049],,,GO:0002020; GO:0005576; GO:0008191; GO:0008270; GO:1905049,,
5158,G3X9F5,unreviewed,G3X9F5_MOUSE,"Metalloendopeptidase, EC 3.4.24.-",Tll1,Mus musculus (Mouse),1013,,,,,,proteolysis [GO:0006508],calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],,,,calcium ion binding [GO:0005509]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508],,,GO:0004222; GO:0005509; GO:0006508; GO:0008270,,
5162,Q9QYM9,reviewed,TEFF2_MOUSE,"Tomoregulin-2, TR-2 (Transmembrane protein with EGF-like and two follistatin-like domains)",Tmeff2 MNCb-1026,Mus musculus (Mouse),374,basement membrane [GO:0005604]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,"animal organ morphogenesis [GO:0009887]; cell migration [GO:0016477]; negative regulation of cell migration [GO:0030336]; negative regulation of integrin biosynthetic process [GO:0045720]; negative regulation of stress fiber assembly [GO:0051497]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888]; wound healing, spreading of cells [GO:0044319]",,,,,"basement membrane [GO:0005604]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; animal organ morphogenesis [GO:0009887]; cell migration [GO:0016477]; negative regulation of cell migration [GO:0030336]; negative regulation of integrin biosynthetic process [GO:0045720]; negative regulation of stress fiber assembly [GO:0051497]; substrate adhesion-dependent cell spreading [GO:0034446]; tissue development [GO:0009888]; wound healing, spreading of cells [GO:0044319]",,,GO:0005604; GO:0005886; GO:0009887; GO:0009888; GO:0016021; GO:0016477; GO:0030336; GO:0034446; GO:0044319; GO:0045720; GO:0051497,,
5201,P25119,reviewed,TNR1B_MOUSE,"Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2, TNF-R2) (Tumor necrosis factor receptor type II, TNF-RII, TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b)",Tnfrsf1b Tnfr-2 Tnfr2,Mus musculus (Mouse),474,axon [GO:0030424]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; varicosity [GO:0043196],,,,,aging [GO:0007568]; aortic valve development [GO:0003176]; cell surface receptor signaling pathway [GO:0007166]; cellular response to growth factor stimulus [GO:0071363]; cellular response to lipopolysaccharide [GO:0071222]; extrinsic apoptotic signaling pathway [GO:0097191]; glial cell-neuron signaling [GO:0150098]; immune response [GO:0006955]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cell death [GO:0060548]; negative regulation of extracellular matrix constituent secretion [GO:0003332]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neuroinflammatory response [GO:0150079]; negative regulation of neuron death [GO:1901215]; positive regulation of apoptotic process involved in morphogenesis [GO:1902339]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of myelination [GO:0031643]; positive regulation of oligodendrocyte differentiation [GO:0048714]; pulmonary valve development [GO:0003177]; regulation of cytokine production involved in immune response [GO:0002718]; regulation of myelination [GO:0031641]; regulation of neuroinflammatory response [GO:0150077]; regulation of RNA biosynthetic process [GO:2001141]; regulation of T cell cytokine production [GO:0002724]; regulation of T cell proliferation [GO:0042129]; RNA destabilization [GO:0050779],tumor necrosis factor binding [GO:0043120]; tumor necrosis factor receptor activity [GO:0005031]; ubiquitin protein ligase binding [GO:0031625],,,,axon [GO:0030424]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; varicosity [GO:0043196]; tumor necrosis factor binding [GO:0043120]; tumor necrosis factor receptor activity [GO:0005031]; ubiquitin protein ligase binding [GO:0031625]; aging [GO:0007568]; aortic valve development [GO:0003176]; cell surface receptor signaling pathway [GO:0007166]; cellular response to growth factor stimulus [GO:0071363]; cellular response to lipopolysaccharide [GO:0071222]; extrinsic apoptotic signaling pathway [GO:0097191]; glial cell-neuron signaling [GO:0150098]; immune response [GO:0006955]; inflammatory response [GO:0006954]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of cell death [GO:0060548]; negative regulation of extracellular matrix constituent secretion [GO:0003332]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neuroinflammatory response [GO:0150079]; negative regulation of neuron death [GO:1901215]; positive regulation of apoptotic process involved in morphogenesis [GO:1902339]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of myelination [GO:0031643]; positive regulation of oligodendrocyte differentiation [GO:0048714]; pulmonary valve development [GO:0003177]; regulation of cytokine production involved in immune response [GO:0002718]; regulation of myelination [GO:0031641]; regulation of neuroinflammatory response [GO:0150077]; regulation of RNA biosynthetic process [GO:2001141]; regulation of T cell cytokine production [GO:0002724]; regulation of T cell proliferation [GO:0042129]; RNA destabilization [GO:0050779],,,GO:0002718; GO:0002724; GO:0003176; GO:0003177; GO:0003332; GO:0005031; GO:0005634; GO:0006954; GO:0006955; GO:0007166; GO:0007568; GO:0008630; GO:0010614; GO:0016020; GO:0016021; GO:0030424; GO:0031625; GO:0031641; GO:0031643; GO:0042129; GO:0043025; GO:0043120; GO:0043196; GO:0045121; GO:0048471; GO:0048714; GO:0050728; GO:0050779; GO:0051044; GO:0060548; GO:0071222; GO:0071363; GO:0097191; GO:0150077; GO:0150079; GO:0150098; GO:1901215; GO:1902339; GO:2001141,,
5206,B1AWN9,unreviewed,B1AWN9_MOUSE,"Tumor necrosis factor receptor superfamily, member 25",Tnfrsf25,Mus musculus (Mouse),411,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,apoptotic process [GO:0006915]; signal transduction [GO:0007165],,,,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; apoptotic process [GO:0006915]; signal transduction [GO:0007165],,,GO:0005886; GO:0006915; GO:0007165; GO:0016021,,
5261,E9PY32,unreviewed,E9PY32_MOUSE,Tryptase,Tpsab1,Mus musculus (Mouse),310,,,,,,proteolysis [GO:0006508],serine-type endopeptidase activity [GO:0004252],,,,serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508,,
5267,E9QJW9,unreviewed,E9QJW9_MOUSE,Tryptase beta-2,Tpsb2,Mus musculus (Mouse),276,,,,,,proteolysis [GO:0006508],serine-type endopeptidase activity [GO:0004252],,,,serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508],,,GO:0004252; GO:0006508,,
5268,Q9JKE2,reviewed,TREM1_MOUSE,"Triggering receptor expressed on myeloid cells 1, TREM-1 (CD antigen CD354)",Trem1,Mus musculus (Mouse),230,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],,,,,acute inflammatory response [GO:0002526]; adaptive immune response [GO:0002250]; innate immune response [GO:0045087]; neutrophil chemotaxis [GO:0030593]; neutrophil extravasation [GO:0072672]; neutrophil migration [GO:1990266]; neutrophil-mediated killing of gram-negative bacterium [GO:0070945]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of macrophage chemotaxis [GO:0010759],scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023],,,,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023]; acute inflammatory response [GO:0002526]; adaptive immune response [GO:0002250]; innate immune response [GO:0045087]; neutrophil chemotaxis [GO:0030593]; neutrophil extravasation [GO:0072672]; neutrophil migration [GO:1990266]; neutrophil-mediated killing of gram-negative bacterium [GO:0070945]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of cell-matrix adhesion [GO:0001954]; positive regulation of macrophage chemotaxis [GO:0010759],,,GO:0001954; GO:0002250; GO:0002526; GO:0005886; GO:0010666; GO:0010759; GO:0016021; GO:0030593; GO:0038023; GO:0045087; GO:0070945; GO:0072672; GO:0097110; GO:1990266,,
5284,Q9D6E4,reviewed,TTC9B_MOUSE,"Tetratricopeptide repeat protein 9B, TPR repeat protein 9B",Ttc9b,Mus musculus (Mouse),239,,,,,,,,,,,,,,,,
5357,Q08874,reviewed,MITF_MOUSE,Microphthalmia-associated transcription factor,Mitf Bw Mi Vit,Mus musculus (Mouse),526,cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991],,,,,"bone remodeling [GO:0046849]; camera-type eye development [GO:0043010]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; melanocyte apoptotic process [GO:1902362]; melanocyte differentiation [GO:0030318]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoclast differentiation [GO:0030316]; pigmentation [GO:0043473]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; protein-containing complex assembly [GO:0065003]; regulation of cell population proliferation [GO:0042127]; regulation of gene expression [GO:0010468]; regulation of osteoclast differentiation [GO:0045670]; regulation of RNA biosynthetic process [GO:2001141]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; Wnt signaling pathway [GO:0016055]","chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]",,,,"cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; E-box binding [GO:0070888]; protein dimerization activity [GO:0046983]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; bone remodeling [GO:0046849]; camera-type eye development [GO:0043010]; cell differentiation [GO:0030154]; cell fate commitment [GO:0045165]; melanocyte apoptotic process [GO:1902362]; melanocyte differentiation [GO:0030318]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell migration [GO:0030336]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osteoclast differentiation [GO:0030316]; pigmentation [GO:0043473]; positive regulation of DNA-templated transcription, initiation [GO:2000144]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; protein-containing complex assembly [GO:0065003]; regulation of cell population proliferation [GO:0042127]; regulation of gene expression [GO:0010468]; regulation of osteoclast differentiation [GO:0045670]; regulation of RNA biosynthetic process [GO:2001141]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; Wnt signaling pathway [GO:0016055]",,,GO:0000122; GO:0000978; GO:0000981; GO:0001228; GO:0003677; GO:0003682; GO:0003700; GO:0005634; GO:0005737; GO:0006351; GO:0006355; GO:0006357; GO:0010468; GO:0010628; GO:0016055; GO:0030154; GO:0030316; GO:0030318; GO:0030336; GO:0032991; GO:0042127; GO:0043010; GO:0043066; GO:0043473; GO:0043565; GO:0045165; GO:0045670; GO:0045893; GO:0045944; GO:0046849; GO:0046983; GO:0065003; GO:0070888; GO:1902362; GO:2000144; GO:2001141,,
5367,A2ACD2,unreviewed,A2ACD2_MOUSE,V-set and transmembrane domain-containing protein 2-like protein,Vstm2l,Mus musculus (Mouse),202,cytoplasm [GO:0005737]; extracellular region [GO:0005576],,,,,negative regulation of neuron apoptotic process [GO:0043524],,,,,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; negative regulation of neuron apoptotic process [GO:0043524],,,GO:0005576; GO:0005737; GO:0043524,,
5373,Q3UVV9,reviewed,VWA3A_MOUSE,von Willebrand factor A domain-containing protein 3A,Vwa3a,Mus musculus (Mouse),1148,,,,,,,,,,,,,,,,
5400,E9Q349,reviewed,WDR25_MOUSE,WD repeat-containing protein 25,Wdr25,Mus musculus (Mouse),535,,,,,,,,,,,,,,,,
5424,Q4KUS1,reviewed,WFDC8_MOUSE,WAP four-disulfide core domain protein 8 (Putative protease inhibitor WAP8C),Wfdc8 Gm706,Mus musculus (Mouse),273,extracellular region [GO:0005576]; integral component of membrane [GO:0016021],,,,,,serine-type endopeptidase inhibitor activity [GO:0004867],,,,extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; serine-type endopeptidase inhibitor activity [GO:0004867],,,GO:0004867; GO:0005576; GO:0016021,,
6434,Q8K449,reviewed,ABCA9_MOUSE,"ATP-binding cassette sub-family A member 9, EC 7.6.2.-",Abca9,Mus musculus (Mouse),1623,integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739],,,,,lipid transport [GO:0006869],ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319],,,,integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; lipid transporter activity [GO:0005319]; lipid transport [GO:0006869],,,GO:0005319; GO:0005524; GO:0005739; GO:0006869; GO:0016021; GO:0042626; GO:0043231; GO:0140359,,
6476,Q5XLJ1,unreviewed,Q5XLJ1_MOUSE,Neural regeneration protein (Nucleic acid dioxygenase ALKBH1),Alkbh1 Nrp,Mus musculus (Mouse),135,,,,,,,,,,,,,,,,
6482,A2AS55,reviewed,ANR16_MOUSE,Ankyrin repeat domain-containing protein 16,Ankrd16,Mus musculus (Mouse),361,cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,tRNA modification [GO:0006400],,,,,cytoplasm [GO:0005737]; nucleus [GO:0005634]; tRNA modification [GO:0006400],,,GO:0005634; GO:0005737; GO:0006400,,
6494,Q8BM75,reviewed,ARI5B_MOUSE,"AT-rich interactive domain-containing protein 5B, ARID domain-containing protein 5B (Developmentally and sexually retarded with transient immune abnormalities protein, Desrt) (MRF1-like) (Modulator recognition factor protein 2, MRF-2)",Arid5b Desrt Mrf2,Mus musculus (Mouse),1188,nucleus [GO:0005634],,,,,adipose tissue development [GO:0060612]; adrenal gland development [GO:0030325]; cell development [GO:0048468]; cellular response to leukemia inhibitory factor [GO:1990830]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; fat pad development [GO:0060613]; female gonad development [GO:0008585]; fibroblast migration [GO:0010761]; kidney development [GO:0001822]; male gonad development [GO:0008584]; multicellular organism growth [GO:0035264]; muscle organ morphogenesis [GO:0048644]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nitrogen compound metabolic process [GO:0006807]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; post-embryonic development [GO:0009791]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; skeletal system morphogenesis [GO:0048705],DNA binding [GO:0003677]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713],,,,nucleus [GO:0005634]; DNA binding [GO:0003677]; transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]; adipose tissue development [GO:0060612]; adrenal gland development [GO:0030325]; cell development [GO:0048468]; cellular response to leukemia inhibitory factor [GO:1990830]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; fat pad development [GO:0060613]; female gonad development [GO:0008585]; fibroblast migration [GO:0010761]; kidney development [GO:0001822]; male gonad development [GO:0008584]; multicellular organism growth [GO:0035264]; muscle organ morphogenesis [GO:0048644]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nitrogen compound metabolic process [GO:0006807]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; post-embryonic development [GO:0009791]; regulation of transcription by RNA polymerase II [GO:0006357]; roof of mouth development [GO:0060021]; skeletal system morphogenesis [GO:0048705],,,GO:0000122; GO:0000976; GO:0001822; GO:0003677; GO:0003713; GO:0005634; GO:0006357; GO:0006807; GO:0008584; GO:0008585; GO:0009791; GO:0010761; GO:0030325; GO:0035264; GO:0045444; GO:0048008; GO:0048468; GO:0048644; GO:0048705; GO:0051091; GO:0060021; GO:0060325; GO:0060612; GO:0060613; GO:1990830,,
6539,Q8BIR2,reviewed,ASTE1_MOUSE,Protein asteroid homolog 1,Aste1,Mus musculus (Mouse),672,,,,,,,,,,,,,,,,
6565,Q80U56,reviewed,AVL9_MOUSE,Late secretory pathway protein AVL9 homolog,Avl9 Kiaa0241,Mus musculus (Mouse),649,cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; recycling endosome [GO:0055037],,,,,cell migration [GO:0016477],,,,,cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; recycling endosome [GO:0055037]; cell migration [GO:0016477],,,GO:0005737; GO:0016021; GO:0016477; GO:0055037,,
6574,O70552,reviewed,BTG4_MOUSE,Protein BTG4 (BTG family member 4) (Protein PC3b),Btg4 Pc3b,Mus musculus (Mouse),250,cytoplasm [GO:0005737]; nucleus [GO:0005634],,,,,maternal-to-zygotic transition of gene expression [GO:0160021]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of mitotic cell cycle [GO:0045930],mRNA 3'-UTR binding [GO:0003730],,,,cytoplasm [GO:0005737]; nucleus [GO:0005634]; mRNA 3'-UTR binding [GO:0003730]; maternal-to-zygotic transition of gene expression [GO:0160021]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of mitotic cell cycle [GO:0045930],,,GO:0003730; GO:0005634; GO:0005737; GO:0008285; GO:0045930; GO:0160021,,
6581,P97445,reviewed,CAC1A_MOUSE,"Voltage-dependent P/Q-type calcium channel subunit alpha-1A (Brain calcium channel I, BI) (Calcium channel, L type, alpha-1 polypeptide isoform 4) (Voltage-gated calcium channel subunit alpha Cav2.1)",Cacna1a Caca1a Cach4 Cacn3 Cacnl1a4 Ccha1a,Mus musculus (Mouse),2368,cell projection [GO:0042995]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; integral component of presynaptic active zone membrane [GO:0099059]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; voltage-gated calcium channel complex [GO:0005891],,,,,"adult walking behavior [GO:0007628]; behavioral response to pain [GO:0048266]; calcium ion import [GO:0070509]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium-ion regulated exocytosis [GO:0017156]; cell death [GO:0008219]; cellular chloride ion homeostasis [GO:0030644]; cellular response to amyloid-beta [GO:1904646]; central nervous system neuron differentiation [GO:0021953]; cerebellar molecular layer development [GO:0021679]; cerebellar Purkinje cell differentiation [GO:0021702]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum maturation [GO:0021590]; chemical synaptic transmission [GO:0007268]; dendrite morphogenesis [GO:0048813]; establishment of localization in cell [GO:0051649]; gamma-aminobutyric acid secretion [GO:0014051]; gamma-aminobutyric acid signaling pathway [GO:0007214]; glucose homeostasis [GO:0042593]; hormone biosynthetic process [GO:0042446]; membrane depolarization [GO:0051899]; modulation of chemical synaptic transmission [GO:0050804]; musculoskeletal movement, spinal reflex action [GO:0050883]; negative regulation of hormone biosynthetic process [GO:0032353]; negative regulation of neuron apoptotic process [GO:0043524]; nervous system process [GO:0050877]; neuromuscular process [GO:0050905]; neuromuscular process controlling balance [GO:0050885]; neuromuscular synaptic transmission [GO:0007274]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron-neuron synaptic transmission [GO:0007270]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; receptor clustering [GO:0043113]; regulation of acetylcholine secretion, neurotransmission [GO:0014056]; regulation of axonogenesis [GO:0050770]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of hormone levels [GO:0010817]; regulation of membrane potential [GO:0042391]; regulation of neurotransmitter levels [GO:0001505]; regulation of sulfur amino acid metabolic process [GO:0031335]; regulation of voltage-gated calcium channel activity [GO:1901385]; response to amyloid-beta [GO:1904645]; response to pain [GO:0048265]; rhythmic synaptic transmission [GO:0060024]; sensory perception of pain [GO:0019233]; spinal cord motor neuron differentiation [GO:0021522]; synapse assembly [GO:0007416]; synaptic transmission, glutamatergic [GO:0035249]; transmission of nerve impulse [GO:0019226]; vestibular nucleus development [GO:0021750]",calmodulin binding [GO:0005516]; high voltage-gated calcium channel activity [GO:0008331]; metal ion binding [GO:0046872]; syntaxin binding [GO:0019905]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626],,,,"cell projection [GO:0042995]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; glutamatergic synapse [GO:0098978]; integral component of presynaptic active zone membrane [GO:0099059]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; voltage-gated calcium channel complex [GO:0005891]; calmodulin binding [GO:0005516]; high voltage-gated calcium channel activity [GO:0008331]; metal ion binding [GO:0046872]; syntaxin binding [GO:0019905]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626]; adult walking behavior [GO:0007628]; behavioral response to pain [GO:0048266]; calcium ion import [GO:0070509]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium-ion regulated exocytosis [GO:0017156]; cell death [GO:0008219]; cellular chloride ion homeostasis [GO:0030644]; cellular response to amyloid-beta [GO:1904646]; central nervous system neuron differentiation [GO:0021953]; cerebellar molecular layer development [GO:0021679]; cerebellar Purkinje cell differentiation [GO:0021702]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum maturation [GO:0021590]; chemical synaptic transmission [GO:0007268]; dendrite morphogenesis [GO:0048813]; establishment of localization in cell [GO:0051649]; gamma-aminobutyric acid secretion [GO:0014051]; gamma-aminobutyric acid signaling pathway [GO:0007214]; glucose homeostasis [GO:0042593]; hormone biosynthetic process [GO:0042446]; membrane depolarization [GO:0051899]; modulation of chemical synaptic transmission [GO:0050804]; musculoskeletal movement, spinal reflex action [GO:0050883]; negative regulation of hormone biosynthetic process [GO:0032353]; negative regulation of neuron apoptotic process [GO:0043524]; nervous system process [GO:0050877]; neuromuscular process [GO:0050905]; neuromuscular process controlling balance [GO:0050885]; neuromuscular synaptic transmission [GO:0007274]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron-neuron synaptic transmission [GO:0007270]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; receptor clustering [GO:0043113]; regulation of acetylcholine secretion, neurotransmission [GO:0014056]; regulation of axonogenesis [GO:0050770]; regulation of calcium ion-dependent exocytosis [GO:0017158]; regulation of hormone levels [GO:0010817]; regulation of membrane potential [GO:0042391]; regulation of neurotransmitter levels [GO:0001505]; regulation of sulfur amino acid metabolic process [GO:0031335]; regulation of voltage-gated calcium channel activity [GO:1901385]; response to amyloid-beta [GO:1904645]; response to pain [GO:0048265]; rhythmic synaptic transmission [GO:0060024]; sensory perception of pain [GO:0019233]; spinal cord motor neuron differentiation [GO:0021522]; synapse assembly [GO:0007416]; synaptic transmission, glutamatergic [GO:0035249]; transmission of nerve impulse [GO:0019226]; vestibular nucleus development [GO:0021750]",,,GO:0001505; GO:0005245; GO:0005516; GO:0005634; GO:0005737; GO:0005886; GO:0005891; GO:0006816; GO:0007204; GO:0007214; GO:0007268; GO:0007270; GO:0007274; GO:0007416; GO:0007628; GO:0008219; GO:0008331; GO:0010817; GO:0014051; GO:0014056; GO:0017156; GO:0017158; GO:0019226; GO:0019233; GO:0019905; GO:0021522; GO:0021590; GO:0021679; GO:0021680; GO:0021702; GO:0021750; GO:0021953; GO:0030425; GO:0030644; GO:0031335; GO:0032353; GO:0032991; GO:0035249; GO:0042391; GO:0042446; GO:0042593; GO:0042995; GO:0043025; GO:0043113; GO:0043204; GO:0043524; GO:0046872; GO:0048265; GO:0048266; GO:0048791; GO:0048813; GO:0050770; GO:0050804; GO:0050877; GO:0050883; GO:0050885; GO:0050905; GO:0051402; GO:0051649; GO:0051899; GO:0060024; GO:0070050; GO:0070509; GO:0070588; GO:0098703; GO:0098978; GO:0099059; GO:0099626; GO:1901385; GO:1904645; GO:1904646,,
6621,Q8CE80,unreviewed,Q8CE80_MOUSE,Calpastatin (Calpain inhibitor),Cast,Mus musculus (Mouse),754,,,,,,,cysteine-type endopeptidase inhibitor activity [GO:0004869],,,,cysteine-type endopeptidase inhibitor activity [GO:0004869],,,GO:0004869,,
