,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (GO),Gene Ontology IDs,Gene Ontology (cellular component),Gene Ontology (molecular function),"TFs (GSEA, 2022)",NOTE,placeholder
84,A2RU54,A2RU54,reviewed,HMX2_HUMAN,Homeobox protein HMX2 (Homeobox protein H6 family member 2),HMX2,Homo sapiens (Human),273.0,"brain development [GO:0007420]; cell differentiation [GO:0030154]; epithelial cell proliferation [GO:0050673]; inner ear morphogenesis [GO:0042472]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of stem cell proliferation [GO:2000648]; regulation of transcription by RNA polymerase II [GO:0006357]; stem cell proliferation [GO:0072089]","chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; brain development [GO:0007420]; cell differentiation [GO:0030154]; epithelial cell proliferation [GO:0050673]; inner ear morphogenesis [GO:0042472]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of stem cell proliferation [GO:2000648]; regulation of transcription by RNA polymerase II [GO:0006357]; stem cell proliferation [GO:0072089]",GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007420; GO:0030154; GO:0042472; GO:0048026; GO:0050673; GO:0050679; GO:0072089; GO:1990837; GO:2000648,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]",HMX2,,x
85,A6NCS4,A6NCS4,reviewed,NKX26_HUMAN,Homeobox protein Nkx-2.6 (Homeobox protein NK-2 homolog F),NKX2-6 NKX2F,Homo sapiens (Human),301.0,atrial cardiac muscle cell development [GO:0055014]; cell differentiation [GO:0030154]; digestive tract development [GO:0048565]; embryonic heart tube development [GO:0035050]; epithelial cell apoptotic process [GO:1904019]; epithelial cell differentiation [GO:0030855]; epithelial cell proliferation [GO:0050673]; hypothalamus development [GO:0021854]; negative regulation of apoptotic process [GO:0043066]; negative regulation of epithelial cell apoptotic process [GO:1904036]; pericardium development [GO:0060039]; pharyngeal system development [GO:0060037]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; tongue development [GO:0043586]; ventricular cardiac muscle cell development [GO:0055015],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; atrial cardiac muscle cell development [GO:0055014]; cell differentiation [GO:0030154]; digestive tract development [GO:0048565]; embryonic heart tube development [GO:0035050]; epithelial cell apoptotic process [GO:1904019]; epithelial cell differentiation [GO:0030855]; epithelial cell proliferation [GO:0050673]; hypothalamus development [GO:0021854]; negative regulation of apoptotic process [GO:0043066]; negative regulation of epithelial cell apoptotic process [GO:1904036]; pericardium development [GO:0060039]; pharyngeal system development [GO:0060037]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; tongue development [GO:0043586]; ventricular cardiac muscle cell development [GO:0055015]",GO:0000785; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008284; GO:0021854; GO:0030154; GO:0030855; GO:0035050; GO:0043066; GO:0043586; GO:0045944; GO:0048565; GO:0050673; GO:0050679; GO:0055014; GO:0055015; GO:0060037; GO:0060039; GO:1904019; GO:1904036,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",NKX2-6,,x
86,A6NFQ7,A6NFQ7,reviewed,DPRX_HUMAN,Divergent paired-related homeobox,DPRX,Homo sapiens (Human),191.0,regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",DPRX,,x
87,A6NHT5,A6NHT5,reviewed,HMX3_HUMAN,Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1),HMX3 NKX-5.1 NKX5-1,Homo sapiens (Human),357.0,brain development [GO:0007420]; cell differentiation [GO:0030154]; embryo implantation [GO:0007566]; inner ear morphogenesis [GO:0042472]; maternal process involved in female pregnancy [GO:0060135]; neuromuscular process controlling balance [GO:0050885]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; brain development [GO:0007420]; cell differentiation [GO:0030154]; embryo implantation [GO:0007566]; inner ear morphogenesis [GO:0042472]; maternal process involved in female pregnancy [GO:0060135]; neuromuscular process controlling balance [GO:0050885]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007420; GO:0007566; GO:0030154; GO:0042472; GO:0050885; GO:0060135,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]",HMX3,,x
88,A6NJ46,A6NJ46,reviewed,NKX63_HUMAN,Homeobox protein Nkx-6.3,NKX6-3,Homo sapiens (Human),265.0,cell differentiation [GO:0030154]; cell fate determination [GO:0001709]; enteroendocrine cell differentiation [GO:0035883]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; cell differentiation [GO:0030154]; cell fate determination [GO:0001709]; enteroendocrine cell differentiation [GO:0035883]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0001709; GO:0005634; GO:0006357; GO:0030154; GO:0030857; GO:0035883; GO:0043565; GO:0045944; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]",NKX6-3,,x
89,A6NJG6,A6NJG6,reviewed,ARGFX_HUMAN,Arginine-fifty homeobox,ARGFX,Homo sapiens (Human),315.0,regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",ARGFX,,x
90,A6NJT0,A6NJT0,reviewed,UNC4_HUMAN,Homeobox protein unc-4 homolog (Homeobox protein Uncx4.1),UNCX UNCX4.1,Homo sapiens (Human),531.0,cartilage condensation [GO:0001502]; common myeloid progenitor cell proliferation [GO:0035726]; dorsal spinal cord development [GO:0021516]; olfactory bulb interneuron differentiation [GO:0021889]; pattern specification process [GO:0007389]; regulation of cell differentiation [GO:0045595]; regulation of gene expression [GO:0010468],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]; cartilage condensation [GO:0001502]; common myeloid progenitor cell proliferation [GO:0035726]; dorsal spinal cord development [GO:0021516]; olfactory bulb interneuron differentiation [GO:0021889]; pattern specification process [GO:0007389]; regulation of cell differentiation [GO:0045595]; regulation of gene expression [GO:0010468]",GO:0000785; GO:0000981; GO:0001502; GO:0005634; GO:0007389; GO:0010468; GO:0021516; GO:0021889; GO:0035726; GO:0045595; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific double-stranded DNA binding [GO:1990837]",UNCX,,x
91,A6NLW8,A6NLW8,reviewed,DUXA_HUMAN,Double homeobox protein A,DUXA,Homo sapiens (Human),204.0,regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]",DUXA,,x
92,A6NM28,A6NM28,reviewed,ZFP92_HUMAN,"Zinc finger protein 92 homolog, Zfp-92",ZFP92,Homo sapiens (Human),416.0,regulation of transcription by RNA polymerase II [GO:0006357],"nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872,nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",ZFP92,,x
93,A6NMT0,A6NMT0,reviewed,DBX1_HUMAN,Homeobox protein DBX1 (Developing brain homeobox protein 1),DBX1,Homo sapiens (Human),343.0,cell differentiation in spinal cord [GO:0021515]; regulation of transcription by RNA polymerase II [GO:0006357]; ventral spinal cord interneuron specification [GO:0021521],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; cell differentiation in spinal cord [GO:0021515]; regulation of transcription by RNA polymerase II [GO:0006357]; ventral spinal cord interneuron specification [GO:0021521]",GO:0000785; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0021515; GO:0021521,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]",DBX1,,x
94,A6NNA5,A6NNA5,reviewed,DRGX_HUMAN,Dorsal root ganglia homeobox protein (Paired-related homeobox protein-like 1),DRGX PRRXL1,Homo sapiens (Human),263.0,axon guidance [GO:0007411]; detection of chemical stimulus [GO:0009593]; detection of temperature stimulus [GO:0016048]; dorsal spinal cord development [GO:0021516]; neuron migration [GO:0001764]; regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of mechanical stimulus [GO:0050954]; trigeminal nerve development [GO:0021559],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; axon guidance [GO:0007411]; detection of chemical stimulus [GO:0009593]; detection of temperature stimulus [GO:0016048]; dorsal spinal cord development [GO:0021516]; neuron migration [GO:0001764]; regulation of transcription by RNA polymerase II [GO:0006357]; sensory perception of mechanical stimulus [GO:0050954]; trigeminal nerve development [GO:0021559]",GO:0000785; GO:0000977; GO:0000981; GO:0001764; GO:0005634; GO:0006357; GO:0007411; GO:0009593; GO:0016048; GO:0021516; GO:0021559; GO:0050954; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]",DRGX,,x
95,A8MTQ0,A8MTQ0,reviewed,NOTO_HUMAN,Homeobox protein notochord,NOTO,Homo sapiens (Human),251.0,central nervous system development [GO:0007417]; dorsal/ventral pattern formation [GO:0009953]; embryonic pattern specification [GO:0009880]; heart looping [GO:0001947]; motile cilium assembly [GO:0044458]; neuron differentiation [GO:0030182]; notochord development [GO:0030903]; regulation of cilium assembly [GO:1902017]; regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; central nervous system development [GO:0007417]; dorsal/ventral pattern formation [GO:0009953]; embryonic pattern specification [GO:0009880]; heart looping [GO:0001947]; motile cilium assembly [GO:0044458]; neuron differentiation [GO:0030182]; notochord development [GO:0030903]; regulation of cilium assembly [GO:1902017]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0001947; GO:0005634; GO:0006357; GO:0007417; GO:0009880; GO:0009953; GO:0030182; GO:0030903; GO:0044458; GO:1902017; GO:1990837,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]",NOTO,,x
96,A8MZ59,A8MZ59,reviewed,LEUTX_HUMAN,"Paired-like homeodomain transcription factor LEUTX (Leucine-twenty homeobox) (Paired-like homeobox transcription factor LEUTX, PRD-LIKE homeobox transcription factor LEUTX)",LEUTX,Homo sapiens (Human),198.0,regulation of transcription by RNA polymerase II [GO:0006357],"chromatin [GO:0000785]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of transcription by RNA polymerase II [GO:0006357]",GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357,chromatin [GO:0000785]; nucleus [GO:0005634],"DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]",LEUTX,,x
97,L0R8F8,L0R8F8,reviewed,MIDUO_HUMAN,"MIEF1 upstream open reading frame protein (Alternative MIEF1 protein, AltMIEF1) (MIEF1 microprotein, MIEF1-MP)",MIEF1,Homo sapiens (Human),70.0,cellular response to hypoxia [GO:0071456]; positive regulation of mitochondrial translation [GO:0070131]; ribosome biogenesis [GO:0042254],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cellular response to hypoxia [GO:0071456]; positive regulation of mitochondrial translation [GO:0070131]; ribosome biogenesis [GO:0042254],GO:0005739; GO:0005759; GO:0042254; GO:0070131; GO:0071456,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,MIEF1,,x
98,L0R8F8,L0R8F8,reviewed,MIDUO_HUMAN,"MIEF1 upstream open reading frame protein (Alternative MIEF1 protein, AltMIEF1) (MIEF1 microprotein, MIEF1-MP)",MIEF1,Homo sapiens (Human),70.0,cellular response to hypoxia [GO:0071456]; positive regulation of mitochondrial translation [GO:0070131]; ribosome biogenesis [GO:0042254],mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cellular response to hypoxia [GO:0071456]; positive regulation of mitochondrial translation [GO:0070131]; ribosome biogenesis [GO:0042254],GO:0005739; GO:0005759; GO:0042254; GO:0070131; GO:0071456,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],,MIEF1,,x
